regime_id,start_date,end_date,duration_days
1,2020-01-01,2020-03-23,83
2,2020-03-24,2020-06-12,81
3,2020-06-12,2020-09-10,91
4,2020-09-11,2020-12-18,99
5,2020-12-18,2021-05-04,138
6,2021-05-05,2021-07-16,73
7,2021-07-16,2021-09-21,68
8,2021-09-22,2021-12-21,91
9,2021-12-22,2022-02-28,69
10,2022-02-28,2022-05-19,81
11,2022-05-20,2022-07-27,69
12,2022-07-28,2022-10-27,92
13,2022-10-28,2023-01-19,84
14,2023-01-20,2023-03-28,68
15,2023-03-29,2023-06-26,90
16,2023-06-27,2023-09-26,92
17,2023-09-27,2024-01-05,101
18,2024-01-05,2024-05-09,126
19,2024-05-10,2024-08-12,95
20,2024-08-13,2024-10-14,63
21,2024-10-15,2025-01-06,84
22,2025-01-07,2025-03-10,63
23,2025-03-11,2025-05-26,77
24,2025-05-27,2025-07-25,60
25,2025-07-25,2025-12-05,134
